Item Brand Name,Model ,Num Units Sold,Sale Amount,GP,GM%,GPROI,Avg. Compdaystosell,Avg. Sale Amount,Current Inventory ,Posted Inventory ,Current Inventory  Cost,Rank of Num Units Sold along Model 
Rolex,116610LN-0001,51,"$664,170 ","$101,847 ",15%,0.77,73,"$12,076 ",15,4,"$167,048 ",1
Rolex,126610LV-0002,50,"$1,051,765 ","$152,596 ",15%,0.94,57,"$20,226 ",16,9,"$292,626 ",2
Rolex,126610LN-0001,50,"$801,194 ","$93,475 ",12%,1.13,38,"$14,837 ",17,5,"$229,325 ",2
Rolex,116500LN-0001,49,"$1,908,173 ","$211,277 ",11%,0.7,58,"$38,942 ",20,8,"$782,607 ",4
Rolex,116610LV-0002,47,"$1,083,205 ","$218,387 ",20%,0.92,80,"$21,239 ",45,8,"$880,567 ",5
Rolex,124060-0001,43,"$613,830 ","$87,870 ",14%,1.12,46,"$12,527 ",9,4,"$111,350 ",6
Rolex,16610 BLK OYS,42,"$468,906 ","$104,792 ",22%,0.93,88,"$9,769 ",39,8,"$358,271 ",7
Rolex,126600-0001,42,"$651,902 ","$100,154 ",15%,0.73,77,"$13,581 ",13,9,"$168,552 ",7
Rolex,214270-0003,33,"$357,948 ","$83,571 ",23%,0.78,109,"$10,227 ",20,4,"$167,381 ",9
Rolex,114060-0002,33,"$429,405 ","$101,222 ",24%,1.12,77,"$12,269 ",23,7,"$237,374 ",9
Rolex,116500LN-0002,32,"$1,139,576 ","$202,803 ",18%,0.83,78,"$33,517 ",16,3,"$516,998 ",11
Rolex,116400GV-0001,32,"$346,084 ","$58,438 ",17%,0.89,69,"$8,652 ",22,6,"$197,137 ",11
Rolex,16570 BLK IX OYS,31,"$279,508 ","$57,793 ",21%,0.51,147,"$7,554 ",58,4,"$412,352 ",13
Rolex,116900-0001,31,"$288,330 ","$50,770 ",18%,0.93,69,"$9,301 ",26,9,"$242,208 ",13
Rolex,116710LN-0001,28,"$386,081 ","$74,921 ",19%,1.13,62,"$12,869 ",14,3,"$155,052 ",15
Rolex,126710BLRO-0001,26,"$606,840 ","$122,863 ",20%,1.26,59,"$23,340 ",21,10,"$460,873 ",16
Rolex,126710BLNR-0002,26,"$522,093 ","$96,557 ",18%,1.53,44,"$20,080 ",21,8,"$377,484 ",16
Rolex,16570 WHT IX OYS,25,"$246,050 ","$57,884 ",24%,1.02,84,"$9,842 ",32,6,"$245,341 ",18
Rolex,216570-0001,24,"$311,398 ","$82,775 ",27%,0.68,142,"$11,977 ",19,5,"$196,949 ",19
Rolex,216570-0002,23,"$269,686 ","$61,544 ",23%,0.04,"2,259","$11,725 ",24,7,"$226,537 ",20
Rolex,116613LB-0005,23,"$364,715 ","$61,676 ",17%,0.99,62,"$14,589 ",16,3,"$229,450 ",20
Rolex,16613 BLU IX OYS,22,"$254,745 ","$48,662 ",19%,0.82,85,"$11,579 ",19,3,"$189,386 ",22
Rolex,116660-0001,22,"$262,479 ","$49,768 ",19%,0.7,98,"$10,937 ",11,1,"$110,881 ",22
Rolex,126711CHNR-0002,21,"$483,334 ","$92,324 ",19%,1.33,53,"$23,016 ",10,6,"$215,529 ",24
Rolex,116520-0016,21,"$597,663 ","$126,954 ",21%,0.87,89,"$25,985 ",18,6,"$433,396 ",24
Rolex,114270-0001,21,"$158,507 ","$27,401 ",17%,0.57,110,"$5,466 ",54,9,"$329,448 ",24
Rolex,16622 PT IX OYS,20,"$204,055 ","$45,447 ",22%,1.26,65,"$10,203 ",17,3,"$138,925 ",27
Rolex,124270-0001,20,"$197,728 ","$28,861 ",15%,0.8,67,"$7,605 ",16,5,"$133,173 ",27
Rolex,126660-0002,19,"$335,296 ","$62,003 ",18%,1.4,48,"$17,647 ",16,8,"$242,556 ",29
Rolex,116710BLNR-0002,19,"$334,176 ","$72,153 ",22%,0.97,81,"$15,913 ",24,11,"$391,081 ",29
Rolex,116400GV-0002,19,"$230,904 ","$53,207 ",23%,1.33,63,"$12,153 ",17,6,"$176,704 ",29
Rolex,326934-0003,17,"$521,042 ","$83,628 ",16%,1,59,"$30,650 ",15,7,"$432,563 ",32
Rolex,126613LB-0002,16,"$311,750 ","$38,149 ",12%,1.05,42,"$19,484 ",10,8,"$189,960 ",33
Rolex,126300-0001,16,"$168,734 ","$32,957 ",20%,1.09,66,"$10,546 ",14,2,"$128,237 ",33
Rolex,226659-0002,15,"$502,740 ","$83,055 ",17%,0.73,82,"$26,460 ",8,4,"$226,675 ",35
Rolex,126710BLNR-0003,15,"$311,599 ","$53,131 ",17%,1.89,33,"$20,773 ",6,1,"$114,500 ",35
Rolex,116520-0015,15,"$398,166 ","$60,684 ",15%,0.91,61,"$23,422 ",20,5,"$464,154 ",35
Rolex,16233 CHP IX JUB,13,"$88,691 ","$22,673 ",26%,0.66,140,"$5,913 ",17,1,"$87,619 ",38
Rolex,124300-0005,13,"$193,062 ","$45,537 ",24%,2.38,36,"$12,871 ",6,4,"$77,611 ",38
Rolex,126603-0001,12,"$213,228 ","$28,710 ",13%,0.62,79,"$15,231 ",10,3,"$157,207 ",40
Rolex,124300-0003,12,"$127,915 ","$25,613 ",20%,2.03,36,"$10,660 ",1,1,"$8,800 ",40
Rolex,116619LB-0001,12,"$545,708 ","$118,301 ",22%,0.77,102,"$45,476 ",8,4,"$317,003 ",40
Rolex,16710 COKE OYS,11,"$138,749 ","$33,282 ",24%,1.27,69,"$12,614 ",11,0,"$123,121 ",43
Rolex,16600 BLK IX OYS,11,"$115,014 ","$25,841 ",22%,0.86,96,"$8,847 ",21,9,"$181,321 ",43
Rolex,16610LV,10,"$199,686 ","$53,769 ",27%,0.94,104,"$19,969 ",9,3,"$127,500 ",45
Rolex,126715CHNR-0001,10,"$478,033 ","$43,299 ",9%,0.65,51,"$47,803 ",6,5,"$290,719 ",45
Rolex,126660-0001,10,"$142,550 ","$28,946 ",20%,0.69,107,"$14,255 ",9,1,"$104,984 ",45
Rolex,126334-0002,10,"$137,905 ","$33,271 ",24%,1.45,61,"$13,791 ",4,0,"$47,800 ",45
Rolex,116508-0013,10,"$947,008 ","$159,084 ",17%,0.51,120,"$67,643 ",5,3,"$454,244 ",45
Rolex,226570-0002,9,"$125,513 ","$24,718 ",20%,1.46,49,"$13,946 ",1,1,"$10,000 ",50
Rolex,1675 BLK PEP OYS,9,"$126,943 ","$30,844 ",24%,0.7,127,"$14,105 ",1,0,"$14,000 ",50
Rolex,16233 CHP DI JUB,9,"$65,000 ","$12,897 ",20%,0.7,104,"$5,909 ",10,1,"$59,000 ",50
Rolex,124300-0006,9,"$286,887 ","$45,288 ",16%,1.66,35,"$31,876 ",5,1,"$141,077 ",50
Rolex,124300-0001,9,"$82,746 ","$21,479 ",26%,1.54,61,"$9,194 ",1,1,"$8,603 ",50
Rolex,116681-0001,9,"$207,267 ","$35,699 ",17%,0.56,112,"$23,030 ",23,4,"$512,439 ",50
Rolex,116680-0002,9,"$192,563 ","$33,898 ",18%,0.79,82,"$21,396 ",12,1,"$214,171 ",50
Rolex,116613LN-0001,9,"$128,742 ","$24,905 ",19%,1.36,52,"$14,305 ",7,2,"$92,570 ",50
